Wavelength,Reflectance_01,Reflectance_02,Reflectance_03,Reflectance_04,Reflectance_05,Reflectance_06,Reflectance_07,Reflectance_08,Reflectance_09,Reflectance_10,Reflectance_11,Reflectance_12,Reflectance_13,Reflectance_14,Reflectance_15,Reflectance_16,Reflectance_17,Reflectance_18,Reflectance_19,Reflectance_20,Reflectance_21,Reflectance_22,Reflectance_23,Reflectance_24
1240,0.14611680046458525,0.8751057167630973,0.441084,0.18337440203860814,0.9421690529724203,0.896451746912343,0.6881975900889452,0.759515,0.5863521657169785,0.6378141763146475,0.6950567686039685,0.7656575447331524,0.6070059294226153,0.9033509467232349,0.7814531032289506,0.8289948141758117,0.8545470222252554,0.5900633867696173,0.9136480767178361,0.5467053773949955,0.26638482528351554,0.14533256877592074,0.08663683297333818,0.03911230698141638
1244,0.14599588072365058,0.8753052111133619,0.440008,0.18630976287023082,0.9445275099546157,0.8986646520062611,0.690785132455981,0.76213,0.5883564250241234,0.640457972174762,0.6984129428085006,0.7660733063393097,0.6075710933712012,0.9074319939739812,0.7839436621909172,0.829761741664379,0.8559932168611659,0.5918613180950048,0.9149367955975841,0.5470456159219077,0.266278079418118,0.14545344712842664,0.08797045281848491,0.038747083475640376
1248,0.1455525083402234,0.8763565146734865,0.441378,0.1866206404222831,0.9449607609445912,0.8980311908238842,0.6907270684697766,0.763502,0.5883837941113008,0.6409136542253139,0.6977691352177996,0.7669289773216791,0.6088455850852025,0.9064842327432466,0.7841772494216144,0.8301372935019717,0.8583982670215426,0.5909218490057297,0.9148243217638704,0.5456077658004367,0.26444889055960574,0.14487112880418074,0.08768708493669623,0.039235439477649424
1252,0.14684994447944147,0.8774901492353077,0.440059,0.1849689712511755,0.9448853667772181,0.8984499907418012,0.6917394932474131,0.762154,0.588779593218174,0.6412968891295799,0.69838886545145,0.7673289903821486,0.6099748683170348,0.9064432541534477,0.7845686378037157,0.8311268092987755,0.8560923724379534,0.5918897230954644,0.9150650367911645,0.5456962488848349,0.26508314754624,0.14523271274558974,0.08829911742487177,0.03932622360622802
1256,0.14537820961455175,0.8765581200750767,0.442341,0.18513181187367905,0.943811796309411,0.8989498147644408,0.6922557348702122,0.763506,0.5876490393863075,0.6421295063325468,0.699141544569684,0.7677395024730767,0.61049302232535,0.9070285124744223,0.7835896477657271,0.8308345962116596,0.8576524905025135,0.5917708429083557,0.9159459066290345,0.5473047449547882,0.264431272309977,0.14399239573726816,0.0875975448996998,0.038990217980914114
1260,0.14521807266034098,0.8790185503950068,0.441702,0.18604752602360172,0.9453547220163582,0.9000231210867408,0.6926674613178434,0.763968,0.5886816960986548,0.6435270012848154,0.7013933008747211,0.7690781288565378,0.610777171297652,0.9073279713998761,0.7871173340319891,0.8326374560162835,0.8593645064719396,0.5930269751509024,0.9167574000834926,0.5477313598259939,0.2628808663426488,0.1452179971200673,0.0880136427186832,0.039258396383726774
1264,0.14597300401590615,0.8762013524010585,0.44185,0.1868955661485878,0.9439402849608498,0.9005808194698964,0.6920762643673987,0.764444,0.5887522241309966,0.6438325392495864,0.7010007352706351,0.769211466543361,0.6112378687123032,0.9079247877846404,0.7863065268001026,0.8305444929663282,0.8588381380377169,0.5937865459039333,0.9185685441534811,0.5472257422008612,0.26482716474281076,0.14492053126129187,0.08769656564649587,0.03987823284781517
1268,0.14667782448784072,0.878165685659484,0.440732,0.1866259274554813,0.9453876405964788,0.898918246931432,0.6937379500816844,0.764882,0.589335396219315,0.6445307617463999,0.7006489964893741,0.7685647262671161,0.6123055166891141,0.9072249995588428,0.7858040547127364,0.832788309703856,0.8590026941013216,0.592186397544709,0.9160667897213437,0.5464641556530052,0.2636073600479276,0.14351518902389696,0.0880610462676813,0.03974570889000502
1272,0.14524748557029807,0.8796096447661612,0.440333,0.1874253268750442,0.9444967151538577,0.900511370237277,0.6936228778181156,0.764515,0.5888595951653078,0.6461718471035718,0.700980845280028,0.7687411099788193,0.6128393406775196,0.9083944654677205,0.7858196271947827,0.8322629590995828,0.8584984774448916,0.5918623701320588,0.9165292989440919,0.5473763741183486,0.2629399392972864,0.14412168301864406,0.08813162488507847,0.03970918653942742
1276,0.14555795517540063,0.8779946905021143,0.441324,0.18726037143926139,0.9459727418108822,0.8996390457851334,0.6941507322381556,0.766374,0.5888901222240827,0.6471609081441706,0.7022862567688152,0.7692776104352496,0.6137555121801254,0.9077346050986502,0.7876457602560997,0.8329971840404947,0.858448899656498,0.5933373260818499,0.917771766901565,0.5473026382146835,0.26183102593830154,0.14309684481261561,0.08769972588309571,0.04064728920140633
1280,0.14604599160728113,0.8797162528581015,0.442541,0.18752155087925085,0.944542376410154,0.9014584052275416,0.694579350027228,0.765783,0.5894911894847863,0.6475787916836168,0.7014016756076082,0.7690823284687212,0.6141838249692569,0.9080130493626688,0.7874682339607698,0.8323990438946657,0.8595353916149138,0.5934846112694183,0.9165892149115842,0.5480989859742674,0.26238030077966784,0.14289082605530118,0.08724675863711383,0.0398208405826218
1284,0.14502743342913765,0.8783504026504698,0.441767,0.187411580588729,0.9453090607600617,0.9003040748005191,0.6939818188237428,0.766975,0.589610139748288,0.6476480889539772,0.7009735173887518,0.7704598012648788,0.6138714700327926,0.9086781633970978,0.7872657916941656,0.834196629094829,0.8592010052548965,0.593497235714067,0.9169865523802178,0.5473679471579297,0.2607272944174429,0.14150755725618996,0.08737948857430852,0.03981562310396786
1288,0.1461440346404714,0.8785414527954323,0.441613,0.1887555444277032,0.9460300838536732,0.9014089489558278,0.6941433422762752,0.766407,0.5903406838444848,0.6485069551229897,0.7024547982681695,0.770564791569464,0.6143238101247293,0.9086182716120071,0.7883548272719492,0.8335309740119047,0.8590480525034692,0.5932394866358224,0.9158218700647521,0.5491776369078837,0.2615004246658566,0.1429160528419111,0.08753644699210227,0.04017041165243596
1292,0.1451407276008242,0.8792929870673284,0.442102,0.1895866660464552,0.9442301808438481,0.9016372896145916,0.6958134736612814,0.766303,0.5910133317947293,0.6499411986277223,0.7028452701890336,0.7703117649354136,0.6156432224483224,0.9080319625579606,0.7877516531340156,0.8323832200812838,0.8596915089060261,0.5934583103430668,0.9176246048761452,0.5473437196467255,0.25870430481301465,0.14384103501760856,0.0877755715614927,0.04067546358613762
1296,0.14530195392207043,0.8780274117976604,0.441726,0.19014709156546095,0.9439912556655528,0.8994328026094758,0.6943375927028498,0.766835,0.590882802302037,0.6503926808437068,0.703254585258894,0.7702897169714509,0.6159022994524801,0.9082683774991084,0.7872128452552075,0.8325013712212006,0.8591113432971631,0.5957464909356457,0.9157493402093666,0.5479304467658898,0.2592494341838801,0.14193536151245,0.08756383570930117,0.040543983124058255
1300,0.1444478901662795,0.8789119423030664,0.441737,0.1899313806109757,0.94290494252157,0.8999778738594282,0.6954534769468141,0.767759,0.5906985872921893,0.6503643319603776,0.703042076411882,0.7703149146445513,0.6163128529308427,0.9083913132685052,0.7873955623778862,0.8314981414527998,0.8599151363770786,0.5944882546189908,0.9160709943506415,0.548203269609451,0.2583737035405697,0.1418743967781427,0.08770183270749564,0.03993771210447011
1304,0.14619414552410198,0.8785815627706176,0.44207,0.19061446530017898,0.9440719592813326,0.9009354314606955,0.6952708393174803,0.766795,0.5894227667668429,0.6516127327855071,0.7028149117823177,0.7706655822618658,0.6169939747320958,0.9072271010249865,0.787404905867114,0.8340615992206383,0.8600406631179052,0.5949869201826149,0.9160688920359925,0.5467064307650479,0.259877472964763,0.14246932849569358,0.08721726309551499,0.04024554334505274
1308,0.1457180921296114,0.8782110732629835,0.44286,0.19025811926262245,0.9437671969427959,0.8996274709130301,0.6968301212742782,0.767241,0.5910764912266772,0.6521849602453014,0.7049703586591523,0.7702277726917455,0.618122213298589,0.9077682285569469,0.7887015745388507,0.8332187174278386,0.861249517277463,0.5942925757269358,0.9159227811678972,0.5474943515642129,0.2581498481335223,0.14198686620177867,0.08717828684411656,0.04035302340532395
1312,0.14433677472866388,0.8792328221045503,0.442397,0.1914011758400663,0.9426341606528353,0.9015836242984766,0.6942679159194044,0.768159,0.5894680310264054,0.652246907805169,0.7044207668134319,0.7703464117359269,0.6185421687650056,0.9067500682104038,0.787944751911392,0.8324454604139186,0.8602991005254894,0.5948038657352086,0.9153404400101643,0.5468107144002314,0.257449263618874,0.1418964702164264,0.08665052733193765,0.040674420090406824
1316,0.14541197999265063,0.8778901934614995,0.442908,0.19234543996925907,0.943353059967084,0.9012637369239872,0.6957005128153929,0.768498,0.5894817155699941,0.6533273152476067,0.7057523493424914,0.7715244029533724,0.6183092083943317,0.9068845620435902,0.7879655152207872,0.8346871673096624,0.8603497331604449,0.5954392961158604,0.9159091161226797,0.5475069920048413,0.25686786138112594,0.1420667510260434,0.08770920659289536,0.04095198995479658
1320,0.14517994481410032,0.8772516004355202,0.443659,0.19170147932572223,0.94529950375293,0.9006839410577253,0.696774168705754,0.769105,0.5909596462775736,0.6555175289744528,0.7053712989961253,0.7732987391008621,0.6197957671722201,0.90764529278755,0.7889995280286732,0.8353960741491635,0.8608201947269044,0.5972046142925719,0.915735675164149,0.5473995482595005,0.2567870247063588,0.14023675788071469,0.08651779739474295,0.040322762029131085
1324,0.14498603748179062,0.8770278289950117,0.442234,0.19309196905684034,0.9442811515485511,0.8992549704835261,0.695346850353966,0.76768,0.5902585765829526,0.6550765463448864,0.7041852274509804,0.7701847266668657,0.6190154021637291,0.9058958222230566,0.7871806621256447,0.8336681137278795,0.8595986824086078,0.5953772259296709,0.9144679794308896,0.5479441405765706,0.2555185107330903,0.14110077532210483,0.08722253015651481,0.041205559417378204
1328,0.14426160840321797,0.8747415604094396,0.441936,0.19294498953393127,0.9412706943020297,0.8990371524357653,0.69592643450717,0.768264,0.5914164995019964,0.6547332098690098,0.7043851741986614,0.7706088874973898,0.6181232579639282,0.9052044398618333,0.7868131515493479,0.8327788154158269,0.8580754839737026,0.5953141037064275,0.9122016842394239,0.5456920354046255,0.2553392191339273,0.14025567797067212,0.08773027483689451,0.041491477247614254
